Well	Fluor	Target	Content	Sample	Biological Set Name	Cq	Cq Mean	Cq Std. Dev	Starting Quantity (SQ)	Log Starting Quantity	SQ Mean	SQ Std. Dev	Set Point	Well Note
D20	SYBR		Unkn			16.64838268	16.64838268	0	NaN	NaN	NaN	0	55	
D21	SYBR		Unkn			15.67625277	15.67625277	0	NaN	NaN	NaN	0	55	
D22	SYBR		Unkn			15.65537007	15.65537007	0	NaN	NaN	NaN	0	55	
D23	SYBR		Unkn			15.65721353	15.65721353	0	NaN	NaN	NaN	0	55	
D24	SYBR		Unkn			15.95460715	15.95460715	0	NaN	NaN	NaN	0	55	
E01	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
E02	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
E03	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
E04	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
E05	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
E06	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
E07	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
E08	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
E09	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
E10	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
E11	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
E12	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
E13	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
E14	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
E15	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
E16	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
E17	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
E18	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
E19	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
E20	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
E21	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
E22	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
E23	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
E24	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
F01	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
F02	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
F03	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
F04	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
F05	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
F06	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
F07	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
F08	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
F09	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
F10	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
F11	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
F12	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
F13	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
F14	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
F15	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
F16	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
